khmer,english,category,frequency,safe_remove,level,domains,token_type,notes
កំពុងតែ,PROG emphatic,low_sem_verb,High,Caution,Aggressive,all,compound,
ត្រូវ,must/correct/passive,low_sem_verb,High,Caution,Aggressive,all,single,Modal/passive — risky.
ត្រូវបាន,PASSIVE,low_sem_verb,High,Caution,Aggressive,all,compound,Passive voice marker.
ត្រូវតែ,must (obligation),low_sem_verb,High,Caution,Dangerous,all,compound,Modality — preserve in legal.
គឺ,is (copula/identity),low_sem_verb,High,Yes,Moderate,all,single,
ជា,is/as (copula),low_sem_verb,High,Yes,Moderate,all,single,
នៅ,to be at/still,low_sem_verb,High,Yes,Moderate,all,single,Locative copula.
នៅតែ,still,low_sem_verb,High,Yes,Moderate,all,compound,
អាច,can/possible,low_sem_verb,High,Caution,Dangerous,all,single,Modality — preserve in legal/instructions.
គប្បី,should,low_sem_verb,Medium,Caution,Dangerous,academic|gov,single,Modality.
ចង់,to want,low_sem_verb,High,Caution,Dangerous,all,single,Volitional — preserve for intent classification.
ឃើញ,to see,low_sem_verb,High,No,Dangerous,all,single,Content verb — keep.
មិន,not (primary negation),negation,High,No,Dangerous,all,single,Primary negation — NEVER remove for sentiment/legal NLP.
មិនមែន,is not,negation,High,No,Dangerous,all,compound,Identity negation — preserve.
ពុំ,not (formal),negation,Medium,No,Dangerous,academic|gov,single,Formal negation — preserve.
ពុំមាន,not have (formal),negation,Medium,No,Dangerous,academic|gov,compound,
កុំ,don't (prohibitive),negation,High,No,Dangerous,all,single,Prohibitive — preserve.
មិនអាច,cannot,negation,High,No,Dangerous,all,compound,Negated modal — preserve.
មិនទាន់,not yet,negation,High,No,Dangerous,all,compound,
មិនដែល,never,negation,High,No,Dangerous,all,compound,
អត់,no/not (informal),negation,High,No,Dangerous,all,single,Colloquial negation — preserve.
អត់ទេ,no (informal emphatic),negation,High,No,Dangerous,social|fb,compound,
ស្រឡាញ់,to love,emotion_verb,Medium,No,Dangerous,all,single,Sentiment-bearing — preserve for opinion mining.
ខឹង,to be angry,emotion_verb,Medium,No,Dangerous,all,single,Sentiment — preserve.
ស្អប់,to hate,emotion_verb,Medium,No,Dangerous,all,single,Sentiment — preserve.
សប្បាយ,happy,emotion_verb,High,No,Dangerous,all,single,Sentiment — preserve.
ទុក្ខ,sad/suffering,emotion_verb,Medium,No,Dangerous,all,single,Sentiment — preserve.
ភ័យ,afraid,emotion_verb,Medium,No,Dangerous,all,single,Sentiment — preserve.
ខ្លាច,to fear,emotion_verb,Medium,No,Dangerous,all,single,Sentiment — preserve.
ពេញចិត្ត,to like/be satisfied,emotion_verb,High,No,Dangerous,all,compound,Sentiment — preserve.
មិនពេញចិត្ត,dissatisfied,emotion_verb,Medium,No,Dangerous,all,compound,Sentiment — preserve.
ល្អ,good,emotion_verb,High,No,Dangerous,all,single,Sentiment polarity — preserve.
មិនល្អ,not good,emotion_verb,High,No,Dangerous,all,compound,Negative polarity — preserve.
អាក្រក់,bad,emotion_verb,High,No,Dangerous,all,single,Sentiment — preserve.
ថ្ងៃ,day,temporal,High,Caution,Aggressive,all,single,
ថ្ងៃនេះ,today,temporal,High,Yes,Aggressive,news|social,compound,
ថ្ងៃស្អែក,tomorrow,temporal,Medium,Yes,Aggressive,news|social,compound,
ម្សិលមិញ,yesterday,temporal,Medium,Yes,Aggressive,news|social,compound,
កាលពី,previously/back when,temporal,High,Yes,Moderate,all,compound,
កាលណា,when,temporal,Medium,Yes,Moderate,all,compound,
ឥឡូវ,now,temporal,High,Yes,Aggressive,all,single,
ឥឡូវនេះ,right now,temporal,High,Yes,Aggressive,all,compound,
ពេល,time/when,temporal,High,Yes,Aggressive,all,single,
ពេលនេះ,now/at this time,temporal,High,Yes,Aggressive,all,compound,
ពេលណា,when,temporal,Medium,Yes,Moderate,all,compound,
ពេលនោះ,at that time,temporal,High,Yes,Aggressive,all,compound,
ពេលណាមួយ,sometime,temporal,Medium,Yes,Moderate,all,compound,
ឆ្នាំ,year,temporal,High,Caution,Aggressive,news,single,Often important in news; consider domain.
ឆ្នាំនេះ,this year,temporal,Medium,Yes,Aggressive,news|social,compound,
ខែ,month,temporal,High,Caution,Aggressive,news,single,
សប្ដាហ៍,week,temporal,High,Caution,Aggressive,news,single,
ម៉ោង,hour,temporal,High,Caution,Aggressive,news,single,
នាទី,minute,temporal,Medium,Caution,Aggressive,news,single,
លើ,on/above,location,High,Yes,Moderate,all,single,
ក្រោម,under/below,location,High,Yes,Moderate,all,single,
ក្នុង,in/inside,location,High,Yes,Conservative,all,single,
នៅក្នុង,inside of,location,High,Yes,Conservative,all,compound,
ខាងក្នុង,the inside,location,Medium,Yes,Moderate,all,compound,
ខាងក្រៅ,the outside,location,Medium,Yes,Moderate,all,compound,
ខាងលើ,on top/above,location,High,Yes,Moderate,all,compound,
ខាងក្រោម,below,location,High,Yes,Moderate,all,compound,
ខាងមុខ,in front,location,High,Yes,Moderate,all,compound,
ខាងក្រោយ,behind,location,High,Yes,Moderate,all,compound,
ខាងស្ដាំ,right side,location,Medium,Yes,Moderate,all,compound,
ខាងឆ្វេង,left side,location,Medium,Yes,Moderate,all,compound,
ខាងជើង,north,location,Medium,Caution,Moderate,news,compound,Cardinal direction; may matter in geo NER.
ខាងត្បូង,south,location,Medium,Caution,Moderate,news,compound,
ខាងកើត,east,location,Medium,Caution,Moderate,news,compound,
ខាងលិច,west,location,Medium,Caution,Moderate,news,compound,
ចេញ,out/exit,location,High,Caution,Moderate,all,single,Directional verb.
ចេញពី,from/out of,location,High,Yes,Moderate,all,compound,
ចូល,in/enter,location,High,Caution,Moderate,all,single,
ឡើង,up,location,High,Caution,Moderate,all,single,
ចុះ,down,location,High,Caution,Moderate,all,single,
ទៅ,to/go,location,High,Yes,Moderate,all,single,Andative; directional auxiliary.
មក,come/toward,location,High,Yes,Moderate,all,single,Venitive; directional auxiliary.
ពី,from,location,High,Yes,Conservative,all,single,
ដល់,to/until/arrive,location,High,Yes,Moderate,all,single,
ជុំវិញ,around,location,Medium,Yes,Moderate,all,compound,
កណ្ដាល,middle/center,location,Medium,Caution,Moderate,all,single,
មួយ,one/a,quantifier,High,Caution,Aggressive,all,single,Acts as indefinite article; risky for numeric QA.
ពីរ,two,quantifier,High,Caution,Aggressive,all,single,
បី,three,quantifier,High,Caution,Aggressive,all,single,
បួន,four,quantifier,Medium,Caution,Aggressive,all,single,
ប្រាំ,five,quantifier,Medium,Caution,Aggressive,all,single,
ប្រាំមួយ,six,quantifier,Medium,Caution,Aggressive,all,compound,
ប្រាំពីរ,seven,quantifier,Medium,Caution,Aggressive,all,compound,
ប្រាំបី,eight,quantifier,Medium,Caution,Aggressive,all,compound,
ប្រាំបួន,nine,quantifier,Medium,Caution,Aggressive,all,compound,
ដប់,ten,quantifier,High,Caution,Aggressive,all,single,
រយ,hundred,quantifier,High,Caution,Aggressive,all,single,
ពាន់,thousand,quantifier,High,Caution,Aggressive,all,single,
ម៉ឺន,ten thousand,quantifier,Medium,Caution,Aggressive,all,single,
សែន,hundred thousand,quantifier,Low,Caution,Aggressive,all,single,
លាន,million,quantifier,Medium,Caution,Aggressive,all,single,
ច្រើន,many/much,quantifier,High,No,Dangerous,all,single,Quantity — preserve for sentiment/QA.
តិច,few/little,quantifier,High,No,Dangerous,all,single,Quantity — preserve.
តិចតួច,very few,quantifier,Medium,No,Dangerous,all,compound,
ខ្លះ,some,quantifier,High,Yes,Aggressive,all,single,
ខ្លះៗ,some (various),quantifier,Medium,Yes,Aggressive,all,compound,
ទាំងអស់,all/everything,quantifier,High,Caution,Aggressive,all,compound,Universal quantifier — may matter.
ទាំង,all/both,quantifier,High,Caution,Aggressive,all,single,
គ្រប់,every,quantifier,High,Caution,Dangerous,all,single,Universal — preserve for legal.
គ្រប់គ្នា,everyone,quantifier,High,Caution,Dangerous,all,compound,
ផ្សេងៗ,various,quantifier,Medium,Yes,Moderate,all,single,
ប៉ុន្មាន,how many/several,quantifier,High,Caution,Moderate,all,single,Interrogative — preserve for QA.
តែម្នាក់,alone,quantifier,Medium,No,Dangerous,all,compound,
ក្នុងនាម,in the name of/as,formal_filler,Medium,Yes,Moderate,gov|news,compound,
ក្នុងនាមជា,in the capacity of,formal_filler,Medium,Yes,Moderate,gov,compound,
សូម,please,formal_filler,High,Yes,Conservative,gov|formal,single,
សូមមេត្តា,kindly please,formal_filler,Medium,Yes,Conservative,gov|formal,compound,
សូមអរគុណ,thank you (please),formal_filler,High,Yes,Conservative,all,compound,
សូមជម្រាបជូន,please inform,formal_filler,Low,Yes,Conservative,gov,compound,
អាស្រ័យលើ,depending on,formal_filler,Medium,Yes,Moderate,academic|gov,compound,
យោងតាម,according to,formal_filler,High,Yes,Moderate,news|gov,compound,
យោងទៅតាម,according to,formal_filler,High,Yes,Moderate,news|gov,compound,
ស្របតាម,in accordance with,formal_filler,Medium,Yes,Moderate,gov|legal,compound,
តាមរយៈ,via/through,formal_filler,High,Yes,Moderate,all,compound,
ក្នុងករណី,in case,formal_filler,Medium,Yes,Moderate,gov|legal,compound,
ដោយផ្ទាល់,directly,formal_filler,Medium,Yes,Moderate,news|gov,compound,
ដោយឡែក,separately,formal_filler,Medium,Yes,Moderate,news,compound,
មួយរយៈ,for some time,formal_filler,Medium,Yes,Moderate,news,compound,
ជាក់ស្ដែង,clearly/in fact,formal_filler,Medium,Yes,Moderate,news,compound,
ជាក់លាក់,specifically,formal_filler,Medium,Yes,Moderate,news|gov,compound,
ជាលក្ខណៈ,of the nature,formal_filler,Medium,Yes,Moderate,gov,compound,
ក្នុងករណីនេះ,in this case,formal_filler,Medium,Yes,Moderate,gov|legal,compound,
សម្រាប់,for/intended for,formal_filler,High,Yes,Conservative,all,single,
ជាមួយ,with,formal_filler,High,Yes,Conservative,all,single,
ជាមួយនឹង,together with,formal_filler,High,Yes,Conservative,all,compound,
នូវ,(direct-object marker),formal_filler,High,Yes,Conservative,formal|gov|academic,single,Formal direct object marker.
ចំណែកឯ,as for,formal_filler,Medium,Yes,Moderate,news,compound,
ប៉ុណ្ណោះ,only that much,formal_filler,Medium,Yes,Moderate,all,single,
បាទ,yes (male),social,High,Yes,Conservative,social|conversational,single,
ចា៎,yes (female),social,High,Yes,Conservative,social|conversational,single,
ចាស,yes (polite),social,High,Yes,Conservative,social|conversational,single,
ចា,yes (informal),social,High,Yes,Conservative,social,single,
ហាស,haha,social,High,Yes,Conservative,social|fb|youtube,single,
ហាសហាស,hahaha,social,High,Yes,Conservative,social|fb|youtube,compound,
អូខេ,OK,social,High,Yes,Conservative,social|fb,compound,
អូខេហើយ,OK then,social,Medium,Yes,Conservative,social|fb,compound,
អូ,oh,social,High,Yes,Conservative,social,single,
អូយ,ouch/oh,social,Medium,Yes,Conservative,social,single,
អា,ah,social,High,Yes,Conservative,social,single,
អេម,em/awesome (slang),social,Medium,Caution,Dangerous,social|fb,single,Sentiment-loaded slang.
លូវ,now (shortened ឥឡូវ),social,High,Yes,Moderate,social|fb,single,Romanized/typo shortening.
ហ៎,huh? (question),social,Medium,Yes,Conservative,social,single,
ហ៊ឹម,hmm,social,Medium,Yes,Conservative,social,single,
ហ្នឹង,this/that (colloquial),social,High,Yes,Moderate,social|fb,single,
ហើយឯង,you yourself,social,Medium,Yes,Moderate,social,compound,
ស្អូយ,stinky/yuck (slang),social,Low,Caution,Dangerous,social,single,
ហើយក៏,and then,social,High,Yes,Conservative,all,compound,
។,khmer full stop,noise,High,Yes,Conservative,all,noise,U+17D4 — strip during tokenization.
៕,khmer paragraph end,noise,Medium,Yes,Conservative,all,noise,
៚,khmer section end,noise,Low,Yes,Conservative,academic,noise,
៖,khmer 'menukoan' colon,noise,High,Yes,Conservative,all,noise,
៘,khmer 'beyyal',noise,Low,Yes,Conservative,academic,noise,
៙,khmer 'phnaek muan',noise,Low,Yes,Conservative,academic,noise,
ៗ,khmer repetition mark,noise,High,Yes,Moderate,all,noise,May carry meaning (plural/intensifier); use with care.
៛,riel currency sign,noise,Medium,Caution,Aggressive,news|finance,noise,Preserve in finance NER.
។ល។,etc.,noise,Medium,Yes,Conservative,academic,noise,
។ល,etc. (alt),noise,Low,Yes,Conservative,academic,noise,
។។,OCR double-period,noise,High,Yes,Conservative,ocr,noise,
។។។,OCR triple-period,noise,Medium,Yes,Conservative,ocr,noise,
ៗៗ,OCR double-repetition,noise,Low,Yes,Conservative,ocr,noise,
...,ascii ellipsis,noise,High,Yes,Conservative,web|social,noise,
…,unicode ellipsis,noise,High,Yes,Conservative,web,noise,U+2026.
ok,ok (romanized),noise,High,Yes,Conservative,social|fb|youtube,noise,
okay,okay (romanized),noise,High,Yes,Conservative,social|fb|youtube,noise,
okie,okie (romanized),noise,Medium,Yes,Conservative,social|fb|youtube,noise,
haha,haha (romanized),noise,High,Yes,Conservative,social|fb|youtube,noise,
hahaha,hahaha (romanized),noise,High,Yes,Conservative,social|fb|youtube,noise,
lol,lol,noise,High,Yes,Conservative,social|fb|youtube,noise,
lmao,lmao,noise,Medium,Yes,Conservative,social|fb|youtube,noise,
hihi,hihi (giggle),noise,Medium,Yes,Conservative,social|fb|youtube,noise,
hehe,hehe (giggle),noise,High,Yes,Conservative,social|fb|youtube,noise,
huh,huh,noise,Medium,Yes,Conservative,social|fb,noise,
wow,wow,noise,High,Caution,Dangerous,social|fb,noise,Sentiment marker.
omg,omg,noise,Medium,Caution,Dangerous,social|fb,noise,
yeah,yeah,noise,Medium,Yes,Conservative,social|fb,noise,
yes,yes,noise,High,Yes,Conservative,social|fb,noise,
no,no,noise,High,No,Dangerous,social|fb,noise,Negation.
​,zero-width space,noise,High,Yes,Conservative,web|ocr,noise,U+200B.
‌,zero-width non-joiner,noise,Medium,Yes,Conservative,web|ocr,noise,U+200C.
‍,zero-width joiner,noise,Medium,Yes,Conservative,web|ocr,noise,U+200D.
 ,non-breaking space,noise,High,Yes,Conservative,web|ocr,noise,U+00A0.
 ,line separator,noise,Low,Yes,Conservative,web|ocr,noise,U+2028.
 ,paragraph separator,noise,Low,Yes,Conservative,web|ocr,noise,U+2029.
឴,khmer inherent vowel AQ,noise,Low,Yes,Conservative,ocr,noise,Should not appear in modern text — OCR artifact.
឵,khmer inherent vowel AA,noise,Low,Yes,Conservative,ocr,noise,OCR artifact.
៓,khmer sign bathamasat,noise,Low,Yes,Conservative,ocr,noise,Rare; often OCR noise.
០,khmer numeral 0,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
១,khmer numeral 1,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
២,khmer numeral 2,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
៣,khmer numeral 3,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
៤,khmer numeral 4,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
៥,khmer numeral 5,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
៦,khmer numeral 6,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
៧,khmer numeral 7,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
៨,khmer numeral 8,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
៩,khmer numeral 9,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
១០,khmer numeral 10,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
១១,khmer numeral 11,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
១២,khmer numeral 12,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
១៣,khmer numeral 13,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
១៤,khmer numeral 14,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
១៥,khmer numeral 15,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
១៦,khmer numeral 16,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
១៧,khmer numeral 17,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
១៨,khmer numeral 18,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
១៩,khmer numeral 19,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
២០,khmer numeral 20,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
២១,khmer numeral 21,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
២២,khmer numeral 22,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
២៣,khmer numeral 23,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
២៤,khmer numeral 24,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
២៥,khmer numeral 25,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
២៦,khmer numeral 26,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
២៧,khmer numeral 27,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
២៨,khmer numeral 28,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
២៩,khmer numeral 29,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
៣០,khmer numeral 30,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
៣១,khmer numeral 31,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
៣២,khmer numeral 32,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
៣៣,khmer numeral 33,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
៣៤,khmer numeral 34,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
៣៥,khmer numeral 35,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
៣៦,khmer numeral 36,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
៣៧,khmer numeral 37,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
៣៨,khmer numeral 38,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
៣៩,khmer numeral 39,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
៤០,khmer numeral 40,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
៤១,khmer numeral 41,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
៤២,khmer numeral 42,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
៤៣,khmer numeral 43,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
៤៤,khmer numeral 44,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
៤៥,khmer numeral 45,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
៤៦,khmer numeral 46,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
៤៧,khmer numeral 47,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
៤៨,khmer numeral 48,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
៤៩,khmer numeral 49,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
៥០,khmer numeral 50,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
៥១,khmer numeral 51,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
៥២,khmer numeral 52,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
៥៣,khmer numeral 53,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
៥៤,khmer numeral 54,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
៥៥,khmer numeral 55,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
៥៦,khmer numeral 56,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
៥៧,khmer numeral 57,quantifier,Medium,Caution,Aggressive,all,single,Numeric token; preserve for finance/QA.
